date,editoriaux,debats,photos,science,publiable,timestamp
janvier 2018,4,31,41,42,1,2018/01/01
février 2018,17,19,36,26,1,2018/02/01
mars 2018,20,21,31,17,1,2018/03/01
avril 2018,21,30,40,37,1,2018/04/01
mai 2018,24,27,37,26,1,2018/05/01
juin 2018,12,27,36,29,1,2018/06/01
juillet 2018,,,,,,2018/07/01
août 2018,,,,,,2018/08/01
septembre 2018,4,24,28,35,1,2018/09/01
octobre 2018,26,18,35,17,1,2018/10/01
novembre 2018,19,32,40,27,1,2018/11/01
décembre 2018,17,30,38,42,1,2018/12/01
janvier 2019,27,29,38,22,1,2019/01/01
février 2019,29,28,39,34,1,2019/02/01
mars 2019,,,,,,2019/03/01
avril 2019,,,,,,2019/04/01
mai 2019,,,,,,2019/05/01
juin 2019,,,,,,2019/06/01
juillet 2019,,,,,,2019/07/01
août 2019,,,,,,2019/08/01
septembre 2019,,,,,,2019/09/01
octobre 2019,,,,,,2019/10/01
novembre 2019,,,,,,2019/11/01
décembre 2019,,,,,,2019/12/01
janvier 2020,,,,,,2020/01/01
février 2020,,,,,,2020/02/01
mars 2020,,,,,,2020/03/01
avril 2020,,,,,,2020/04/01
mai 2020,,,,,,2020/05/01
juin 2020,,,,,,2020/06/01
juillet 2020,,,,,,2020/07/01
août 2020,,,,,,2020/08/01
